Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021),Change from base year to latest reported year
Australia,"626,253.79","626,253.79","610,773.00","546,688.37","524,693.63","520,808.22","504,056.92","510,448.39","514,810.42","513,539.42","530,836.25","555,489.95","573,384.05","573,076.79","585,747.64","579,608.40","608,646.54","621,730.19","633,487.20","622,402.86","624,317.99","603,247.58","582,074.53","566,439.40","549,887.67","548,935.92","537,823.58","513,732.80","512,506.39","518,521.95","506,210.09","488,003.60",—,-100.00%
Austria,"66,839.80","66,839.80","63,510.44","66,620.30","59,455.65","67,054.99","60,182.37","64,257.04","60,040.83","62,758.76","59,978.97","66,335.33","55,087.41","73,083.18","76,334.79","69,002.70","74,170.22","81,085.78","81,695.74","74,397.52","72,088.14","64,934.19","67,145.81","74,020.84","73,986.21","69,050.39","72,321.37","72,828.52","78,883.08","83,775.26","82,126.61","68,688.65","67,130.65",0.44%
Belarus,"115,940.81","115,940.81","110,083.45","97,649.22","90,559.47","66,183.74","58,018.69","59,374.03","60,325.86","60,517.72","50,873.44","46,508.15","46,107.23","47,011.28","51,409.39","52,565.81","52,463.87","53,046.71","49,101.30","52,129.29","46,997.64","45,738.05","46,086.47","48,985.99","48,436.57","47,769.03","44,498.80","47,449.76","52,286.46","52,290.02","56,661.43","52,491.86","48,914.92",-57.81%
Belgium,"142,908.44","142,908.44","146,108.99","145,787.34","144,589.81","149,390.27","151,295.95","154,747.82","146,791.75","151,427.78","145,625.10","147,191.15","145,804.50","145,307.85","145,730.32","146,818.30","143,653.11","140,973.91","137,651.47","137,665.47","125,246.46","133,282.06","122,901.64","120,167.36","119,599.79","113,971.73","118,134.15","116,651.14","116,263.92","116,976.66","115,983.24","106,937.75","110,627.36",-22.59%
Bulgaria,"97,510.26","82,566.08","64,426.60","59,373.53","58,373.84","54,189.30","55,640.26","56,673.12","53,209.73","49,385.46","42,435.95","40,304.12","45,838.53","42,949.67","48,293.59","46,624.35","45,904.21","49,951.37","52,927.01","53,229.95","44,269.16","47,506.29","56,209.29","51,654.63","47,567.24","49,365.03","52,732.30","48,285.83","50,289.83","45,798.19","44,576.57","38,579.08","44,773.18",-54.08%
Canada,"524,095.80","524,095.80","513,549.46","542,230.36","554,003.49","564,964.24","596,703.34","612,866.10","624,806.14","624,897.38","644,872.57","681,687.00","663,772.59","703,795.18","723,240.39","724,291.80","726,677.68","705,956.52","731,193.60","709,425.26","640,754.20","683,694.55","699,362.82","695,184.01","703,363.10","680,879.49","722,942.17","693,972.03","696,007.19","713,322.13","704,858.18","645,400.71","653,125.73",24.62%
Croatia,"25,141.98","25,141.98","17,335.04","15,350.31","15,181.90","13,997.31","14,181.73","15,029.98","17,001.31","17,319.36","17,812.14","18,958.22","18,899.52","19,684.21","21,970.06","21,658.12","21,907.76","22,498.24","25,084.67","23,927.86","21,636.14","21,283.43","22,250.53","20,932.23","18,742.36","18,151.10","18,912.65","19,125.45","20,813.57","19,097.16","19,063.55","18,240.03","18,644.05",-25.84%
Cyprus,"5,418.66","5,418.66","5,909.37","6,341.03","6,625.78","6,874.02","6,792.15","7,159.67","7,254.82","7,564.41","7,833.91","8,163.94","8,079.15","8,280.38","8,660.11","8,863.08","9,001.61","9,248.00","9,620.76","9,775.56","9,512.32","9,190.83","8,857.68","8,331.06","7,622.95","7,995.81","8,047.16","8,599.23","8,659.04","8,518.88","8,594.58","8,204.31","8,434.69",55.66%
Czechia,"190,189.53","190,189.53","170,924.74","164,965.26","157,636.45","150,027.71","148,694.71","152,296.51","148,736.09","142,879.23","132,674.92","141,971.34","141,599.60","138,036.86","141,835.27","142,866.87","140,676.90","143,088.99","145,322.42","138,925.19","129,494.55","133,012.72","131,048.73","126,916.17","122,170.09","120,045.67","121,542.35","123,999.68","126,453.11","130,181.88","131,229.33","124,339.90","126,739.70",-33.36%
Denmark,"78,751.96","78,751.96","88,679.79","83,690.06","84,506.06","87,979.88","85,210.53","97,733.59","88,676.40","84,609.30","82,274.18","77,865.83","79,111.73","79,600.77","84,476.16","78,273.99","73,928.18","81,844.05","77,515.77","72,491.09","69,028.48","68,410.61","62,653.24","57,622.50","58,978.12","55,518.81","51,719.93","54,873.11","52,690.41","54,547.11","49,931.69","47,621.76","47,971.93",-39.08%
