country,year,pm25,iso3,total_emissions_kt,ln_pm25,ln_total_emissions_kt
Australia,2010,15.186666666666667,AUS,603247.58,2.7204178499108718,13.310082971875419
Australia,2011,12.591666666666667,AUS,582074.53,2.5330352194906935,13.27435377693404
Australia,2012,14.45,AUS,566439.4,2.670694414558441,13.247125381089205
Australia,2013,9.940000000000001,AUS,549887.67,2.296567020668483,13.21746929998593
Australia,2014,7.48590909090909,AUS,548935.92,2.013022465527801,13.21573699236773
Australia,2015,7.1545000000000005,AUS,537823.58,1.9677415293646527,13.195285867151373
Australia,2016,6.845238095238095,AUS,513732.8,1.9235532419540369,13.149458564913402
Australia,2017,7.28,AUS,512506.39,1.9851308622085946,13.147068458209654
Australia,2018,8.06,AUS,518521.95,2.086913556518537,13.158737639410448
Australia,2019,7.455,AUS,506210.09,2.0088849482167017,13.134707059727377
Austria,2010,18.35727272727273,AUT,64934.19,2.910025829892361,11.081129574453916
Austria,2013,15.902173913043478,AUT,73986.21,2.766455823971084,11.211634003469385
Austria,2014,13.110999999999999,AUT,69050.39,2.5734515725172646,11.142591806902589
Austria,2015,13.707083333333332,AUT,72321.37,2.6179127308494494,11.188874938470702
Austria,2016,12.143714285714287,AUT,72828.52,2.496811693179065,11.195862915709311
Austria,2017,12.575135135135136,AUT,78883.08,2.5317214622608755,11.27572203516736
Austria,2018,13.563055555555556,AUT,83775.26,2.607349593083341,11.335893016151873
Austria,2019,11.086857142857143,AUT,82126.61,2.405760365603669,11.316017359856547
Belgium,2010,16.721818181818183,BEL,133282.06,2.816714344676181,11.800222913463697
Belgium,2013,14.81,BEL,119599.79,2.6953026282797072,11.691906364644284
Belgium,2014,12.1753125,BEL,113971.73,2.499410335990382,11.643705714167758
Belgium,2015,12.627708333333333,BEL,118134.15,2.5358934736071324,11.679576122113609
Belgium,2016,12.4475,BEL,116651.14,2.5215197995342007,11.66694305022651
Belgium,2017,12.10891304347826,BEL,116263.92,2.4939417965983943,11.663618058216594
Belgium,2018,12.55177777777778,BEL,116976.66,2.529862311145409,11.669729706700192
Belgium,2019,10.925531914893616,BEL,115983.24,2.3911024276585544,11.661200976891243
Bulgaria,2010,23.8475,BGR,47506.29,3.171679390037226,10.76861740230847
Bulgaria,2013,19.955714285714286,BGR,47567.24,2.993515532684146,10.769899567982762
Bulgaria,2014,21.735714285714288,BGR,49365.03,3.078956727287667,10.806997557763385
Bulgaria,2015,23.966,BGR,52732.3,3.1766361592603247,10.872983450006789
Bulgaria,2016,19.228,BGR,48285.83,2.956367550031714,10.784893421856676
Bulgaria,2017,19.565714285714286,BGR,50289.83,2.9737787633381187,10.82555814876658
Bulgaria,2018,19.584285714285716,BGR,45798.19,2.9747274953924956,10.7319998496707
Bulgaria,2019,16.538571428571426,BGR,44576.57,2.805695315162324,10.704963663647813
Canada,2013,6.885225225225225,CAN,703363.1,1.9293778440965907,13.463628538163459
Canada,2015,6.889133333333333,CAN,722942.17,1.929945290950302,13.491084511773096
Canada,2016,5.857341772151899,CAN,693972.03,1.767695878171434,13.45018693608311
Canada,2017,6.78319018404908,CAN,696007.19,1.9144475199092332,13.453115269722968
Canada,2018,7.503928571428572,CAN,713322.13,2.015426692925754,13.477688392599113
Canada,2019,5.92125,CAN,704858.18,1.7785475752558244,13.465751898437825
Croatia,2013,23.005,HRV,18742.36,3.135711583607432,9.83854148169479
Croatia,2014,20.036666666666665,HRV,18151.1,2.9975639283829607,9.80648644391713
Croatia,2015,15.60625,HRV,18912.65,2.747671475045946,9.847586289327552
Croatia,2016,17.274444444444445,HRV,19125.45,2.84922820962543,9.85877518782969
Croatia,2017,15.549000000000001,HRV,20813.57,2.743996327875679,9.94336045681269
Croatia,2018,15.6775,HRV,19097.16,2.752226563435039,9.857294911879627
Croatia,2019,13.715,HRV,19063.55,2.6184901243895666,9.855533413800025
Cyprus,2010,20.048,CYP,9190.83,2.9981293981537123,9.12596152683192
Cyprus,2013,15.957999999999998,CYP,7622.95,2.7699602708860893,8.938918712869295
Cyprus,2014,16.201999999999998,CYP,7995.81,2.7851346914082993,8.986672933457033
Cyprus,2015,15.953999999999999,CYP,8047.16,2.7697095814889376,8.993074513134745
Cyprus,2016,11.506666666666668,CYP,8599.23,2.4429265775471176,9.059427943349391
Cyprus,2017,13.724,CYP,8659.04,2.6191461249962034,9.066359140908203
Cyprus,2018,12.941999999999998,CYP,8518.88,2.5604778366350742,9.050040155783282
Cyprus,2019,13.025,CYP,8594.58,2.5668705876394307,9.05888705100344
Czechia,2010,23.613333333333337,CZE,133012.72,3.1618115242465232,11.798200041728508
Czechia,2013,20.158125000000002,CZE,122170.09,3.0036074329254654,11.713169533076233
Czechia,2014,19.37290322580645,CZE,120045.67,2.9638753487796006,11.695627532694049
Czechia,2015,17.946666666666665,CZE,121542.35,2.8874043966683627,11.708018040700713
Czechia,2016,18.464313725490197,CZE,123999.68,2.9158398813798994,11.728034263938683
Czechia,2017,18.747692307692308,CZE,126453.11,2.931070667918757,11.747626846497129
Czechia,2018,20.40686274509804,CZE,130181.88,3.0158712533507592,11.77668782856458
Czechia,2019,15.284736842105264,CZE,131229.33,2.7268547384530284,11.784701682337408
Denmark,2010,15.086666666666666,DNK,68410.61,2.7138113515372817,11.133283208540314
Denmark,2013,11.0625,DNK,58978.12,2.403561010334048,10.984921806649306
