country,year,pm25,iso3,yll_asmr,diff,ln_pm25,ln_yll
Afghanistan,2019.0,119.77,AFG,6.19,0.0,4.785573236959415,1.8229350866965048
Albania,2019.0,21.48,ALB,4.99,3.0,3.067122269640664,1.6074359097634274
Albania,2019.0,10.32,ALB,4.99,0.0,2.334083760053417,1.6074359097634274
Algeria,2019.0,21.53,DZA,0.89,0.0,3.0694473113762717,-0.11653381625595151
Australia,2010.0,15.186666666666667,AUS,0.17,0.0,2.7204178499108718,-1.7719568419318752
Australia,2010.0,12.591666666666667,AUS,0.17,1.0,2.5330352194906935,-1.7719568419318752
Australia,2010.0,14.45,AUS,0.17,2.0,2.670694414558441,-1.7719568419318752
Australia,2010.0,9.940000000000001,AUS,0.17,3.0,2.296567020668483,-1.7719568419318752
Australia,2019.0,6.845238095238095,AUS,0.81,3.0,1.9235532419540369,-0.21072103131565253
Australia,2019.0,7.28,AUS,0.81,2.0,1.9851308622085946,-0.21072103131565253
Australia,2019.0,8.06,AUS,0.81,1.0,2.086913556518537,-0.21072103131565253
Australia,2019.0,7.455,AUS,0.81,0.0,2.0088849482167017,-0.21072103131565253
Austria,2010.0,18.35727272727273,AUT,0.1,0.0,2.910025829892361,-2.3025850929940455
Austria,2010.0,15.902173913043478,AUT,0.1,3.0,2.766455823971084,-2.3025850929940455
Austria,2019.0,12.143714285714287,AUT,0.4,3.0,2.496811693179065,-0.916290731874155
Austria,2019.0,12.575135135135136,AUT,0.4,2.0,2.5317214622608755,-0.916290731874155
Austria,2019.0,13.563055555555556,AUT,0.4,1.0,2.607349593083341,-0.916290731874155
Austria,2019.0,11.086857142857143,AUT,0.4,0.0,2.405760365603669,-0.916290731874155
Bahamas,2019.0,5.23,BHS,3.12,1.0,1.6544112780768316,1.1378330018213911
Bahamas,2019.0,4.06,BHS,3.12,0.0,1.4011829736136412,1.1378330018213911
Bahamas,2020.0,3.2,BHS,20.39,0.0,1.1631508098056809,3.015044584586364
Bahrain,2010.0,57.8975,BHR,0.81,2.0,4.058674205753839,-0.21072103131565253
Bahrain,2019.0,60.75,BHR,0.58,3.0,4.1067670822206574,-0.5447271754416722
Bahrain,2019.0,62.64,BHR,0.58,2.0,4.137404051682548,-0.5447271754416722
Bahrain,2019.0,43.38999999999999,BHR,0.58,0.0,3.7702289998102594,-0.5447271754416722
Bangladesh,2010.0,92.65,BGD,0.71,0.0,4.528828952731369,-0.342490308946776
Bangladesh,2010.0,101.475,BGD,0.71,1.0,4.619812462724961,-0.342490308946776
Bangladesh,2010.0,100.975,BGD,0.71,2.0,4.614872961449477,-0.342490308946776
Bangladesh,2010.0,76.2475,BGD,0.71,3.0,4.333984628064774,-0.342490308946776
Bangladesh,2019.0,67.465,BGD,0.52,3.0,4.211608944882751,-0.6539264674066639
Bangladesh,2019.0,50.25111111111111,BGD,0.52,2.0,3.9170326583586283,-0.6539264674066639
Bangladesh,2019.0,72.29375,BGD,0.52,1.0,4.280737680061574,-0.6539264674066639
Bangladesh,2019.0,86.48,BGD,0.52,0.0,4.4599131733309525,-0.6539264674066639
Belgium,2010.0,16.721818181818183,BEL,0.08,0.0,2.816714344676181,-2.5257286443082556
Belgium,2010.0,14.81,BEL,0.08,3.0,2.6953026282797072,-2.5257286443082556
Belgium,2019.0,12.4475,BEL,0.26,3.0,2.5215197995342007,-1.3470736479666092
Belgium,2019.0,12.10891304347826,BEL,0.26,2.0,2.4939417965983943,-1.3470736479666092
Belgium,2019.0,12.55177777777778,BEL,0.26,1.0,2.529862311145409,-1.3470736479666092
Belgium,2019.0,10.925531914893616,BEL,0.26,0.0,2.3911024276585544,-1.3470736479666092
Bosnia and Herzegovina,2010.0,64.77,BIH,0.27,0.0,4.170842533194826,-1.3093333199837622
Bosnia and Herzegovina,2019.0,43.20333333333334,BIH,0.39,3.0,3.765917652767174,-0.941608539858445
Bosnia and Herzegovina,2019.0,48.9875,BIH,0.39,2.0,3.8915651635257498,-0.941608539858445
Bosnia and Herzegovina,2019.0,49.825,BIH,0.39,1.0,3.9085168660988585,-0.941608539858445
Bosnia and Herzegovina,2019.0,38.95666666666667,BIH,0.39,0.0,3.6624499172769562,-0.941608539858445
Brazil,2010.0,16.776666666666667,BRA,1.4,0.0,2.819989032120159,0.3364722366212129
Brazil,2010.0,15.646,BRA,1.4,1.0,2.750215293262889,0.3364722366212129
Brazil,2010.0,15.307999999999998,BRA,1.4,2.0,2.7283755675634556,0.3364722366212129
Brazil,2010.0,14.16,BRA,1.4,3.0,2.6504210882655737,0.3364722366212129
Brazil,2019.0,15.6,BRA,1.48,3.0,2.747270914255491,0.3920420877760237
Brazil,2019.0,15.223333333333333,BRA,1.48,1.0,2.722829338528798,0.3920420877760237
Brazil,2019.0,15.43,BRA,1.48,0.0,2.7363136663750693,0.3920420877760237
Bulgaria,2010.0,23.8475,BGR,0.73,0.0,3.171679390037226,-0.31471074483970024
Bulgaria,2010.0,19.955714285714286,BGR,0.73,3.0,2.993515532684146,-0.31471074483970024
Bulgaria,2019.0,19.228,BGR,2.26,3.0,2.956367550031714,0.8153648132841944
Bulgaria,2019.0,19.565714285714286,BGR,2.26,2.0,2.9737787633381187,0.8153648132841944
Bulgaria,2019.0,19.584285714285716,BGR,2.26,1.0,2.9747274953924956,0.8153648132841944
Bulgaria,2019.0,16.538571428571426,BGR,2.26,0.0,2.805695315162324,0.8153648132841944
Cameroon,2010.0,82.66666666666667,CMR,5.54,2.0,4.4148164574968725,1.7119945007591924
Canada,2010.0,6.885225225225225,CAN,0.07,3.0,1.9293778440965907,-2.659260036932778
Canada,2019.0,5.857341772151899,CAN,0.3,3.0,1.767695878171434,-1.2039728043259361
Canada,2019.0,6.78319018404908,CAN,0.3,2.0,1.9144475199092332,-1.2039728043259361
Canada,2019.0,7.503928571428572,CAN,0.3,1.0,2.015426692925754,-1.2039728043259361
Canada,2019.0,5.92125,CAN,0.3,0.0,1.7785475752558244,-1.2039728043259361
Chile,2010.0,25.83818181818182,CHL,0.15,0.0,3.251853313365345,-1.8971199848858813
Chile,2010.0,26.223636363636363,CHL,0.15,1.0,3.2666611553569935,-1.8971199848858813
Chile,2010.0,25.12090909090909,CHL,0.15,2.0,3.223700530869883,-1.8971199848858813
Chile,2010.0,30.403684210526315,CHL,0.15,3.0,3.4145637922048575,-1.8971199848858813
Chile,2019.0,25.910810810810812,CHL,0.36,3.0,3.2546602874387265,-1.0216512475319814
Chile,2019.0,15.0,CHL,0.36,1.0,2.70805020110221,-1.0216512475319814
Chile,2019.0,19.02972972972973,CHL,0.36,0.0,2.946002478880863,-1.0216512475319814
China,2010.0,75.53666666666668,CHN,14.68,1.0,4.3246181895787235,2.6864860231863696
China,2010.0,56.602,CHN,14.68,2.0,4.036044320273892,2.6864860231863696
China,2010.0,75.35,CHN,14.68,3.0,4.3221439250725044,2.6864860231863696
China,2019.0,45.62125454545454,CHN,9.46,3.0,3.8203737163784894,2.247072383063787
China,2019.0,44.61554054054054,CHN,9.46,2.0,3.798082240947006,2.247072383063787
China,2019.0,40.40886066204773,CHN,9.46,1.0,3.6990490842372745,2.247072383063787
China,2019.0,38.508755144032925,CHN,9.46,0.0,3.650885621779354,2.247072383063787
Colombia,2010.0,32.33,COL,0.4,0.0,3.4759955917373415,-0.916290731874155
Colombia,2010.0,22.5,COL,0.4,1.0,3.1135153092103742,-0.916290731874155
Colombia,2010.0,24.833333333333332,COL,0.4,2.0,3.2121868367174042,-0.916290731874155
Colombia,2010.0,22.35,COL,0.4,3.0,3.106826321059578,-0.916290731874155
Colombia,2019.0,16.655,COL,4.94,3.0,2.812710471645643,1.5973653311998313
